EXP-028-146,Fergus de Ulster,Aliado,Mega Real,Héroe
KEL-021-200,Fergus mac Róich,Aliado,Mega Real,Héroe
IV - 113/240,Filipedes,Aliado,Cortesano,Héroe
KEL-150-200,Findabair,Aliado,Vasallo,Héroe
DO-065-236,Flamel,Aliado,Real,Héroe
AYD-057-200,Francesco,Aliado,Real,Héroe
AG-027-236,Frey,Aliado,Real,Héroe
VK - 32/220,Freydis,Aliado,Real,Héroe
VK - 6/220 SP,Freydis - SP,Aliado,Real SP,Héroe
AG-087-236,Frigg,Aliado,Cortesano,Héroe
BA - 175/260,Fuerzas de Choque,Aliado,Vasallo,Héroe
AG-156-236,Fulla,Aliado,Vasallo,Héroe
TR - 15/190 R,Gabrielle Petit,Aliado,Real,Divinidad
AYD-112-200,Galeno,Aliado,Cortesano,Héroe
MG-070-128,Gandalf Alfgeirsson,Aliado,Cortesano,Héroe
AG-082-236,Gefjun,Aliado,Cortesano,Héroe
KA - 29/140,Gemmei,Aliado,Real,Héroe
GJ - 92/236,General Itztli,Aliado,Cortesano,Héroe
BA - 9/260,Genseric,Aliado,Real,Héroe
HGR-093-100,Gepetto,Aliado,Real,Héroe
ESC-140-300,Gerard van Swieten,Aliado,Real,Héroe
LGO-063-230,Gerard van Swieten,Aliado,Real,Héroe
HGR-079-100,Gerda,Aliado,Ultra Real,Héroe
CRPB-67-72,Gladiador,Aliado,Reprint Imperio,
CO - 100/128,Gladiador,Aliado,Vasallo,Héroe
258,Gladiador,Aliado,Vasallo,Héroe
AG-155-236,Gná,Aliado,Vasallo,Héroe
VK - 96/220,Göndul,Aliado,Cortesano,Héroe
CID-149-215,Gonzalo Núñez,Aliado,Vasallo,Héroe
IV - 194/240,Gorgo,Aliado,Vasallo,Héroe
CS - 210/260,Go-Yozei,Aliado,Vasallo,Héroe
LGO-185-230,Grace O'Malley,Aliado,Vasallo,Héroe
PI - 38/240,Grace O'Malley,Aliado,Real,Héroe
DGO-051-200,Grenville,Aliado,Real,Héroe
BA - 90/260,Grodlon,Aliado,Cortesano,Héroe
TAS-050-200,Guacolda,Aliado,Real,Héroe
VE - 9/180,Guaraní,Aliado,Real,Héroe
GJ - 161/236,Guardián Maya,Aliado,Vasallo,Héroe
HE - 179/175,Guerrero Parto,Aliado,Promocional,Héroe
VK - 172/220,Gunnr,Aliado,Vasallo,Héroe
AG-153-236,Gunvara,Aliado,Vasallo,Héroe
VK - 165/220,Gunvara,Aliado,Vasallo,Héroe
DN - 115/140,Gushtasp,Aliado,Vasallo,Héroe
CTL-01-30,H.P. Lovecraft,Aliado,Ultra Real,Héroe
MG-069-128,Halga,Aliado,Cortesano,Héroe
HGR-077-100,Hansel y Gretel,Aliado,Ultra Real,Héroe
CS - 58/260,Haohmaru Musashi,Aliado,Real,Héroe
VK - 169/220,Harald Diente Azul,Aliado,Vasallo,Héroe
VK - 31/220,Harald Hardrada,Aliado,Real,Héroe
VK - 5/220 SP,Harald Hardrada - SP,Aliado,Real SP,Héroe
KEM-062-231,Hatshepsut,Aliado,Real,Héroe
GJ - 164/236,Hechicero Azul,Aliado,Vasallo,Héroe
CRPB-69-72,Héctor,Aliado,Reprint Helénica,
95,Héctor,Aliado,Cortesano,Héroe
IV - 41/240,Héctor de Troya,Aliado,Real,Héroe
TV-01-09,Heidrek,Aliado,Héroe,JP Aguirre
AG-028-236,Heimdall el Vigía,Aliado,Real,Héroe
OL-060-240,Helena,Aliado,Real,Héroe
153,Helena,Aliado,Vasallo,Héroe
MG-067-128,Helgi,Aliado,Cortesano,Héroe
CR - 27/140,Henry Every,Aliado,Real,Héroe
14,Heracles,Aliado,Real,Héroe
OL-009-240,Herácles,Aliado,Ultra Real,Héroe
OL-245-240,Herácles,Aliado,Legendaria,Héroe
EDICIÓN ANIVERSARIO - 1/18,Hércvles,Aliado,Héroe,Giye
EXP-092-146,Hermanos Pinzón,Aliado,Cortesano,Héroe
CRPB-72-72,Héroes,Oro,Nueva - MYL,
TR - 139/190 V,Héroes Australianos,Aliado,Vasallo,Naturaleza
GJ - 16/236,Héroes Gemelos,Aliado,Real,Héroe
158,Hilas,Aliado,Vasallo,Héroe
VK - 36/220,Hildr,Aliado,Real,Héroe
KA - 28/140,Himiko,Aliado,Real,Héroe
IV - 116/240,Hipolita,Aliado,Cortesano,Héroe
AG-086-236,Hjalmar,Aliado,Cortesano,Héroe
AG-083-236,Hoder el Ciego,Aliado,Cortesano,Héroe
VE - 124/180,Hombre Tiwanaku,Aliado,Vasallo,Héroe
100,Homero,Aliado,Cortesano,Héroe
KA - 70/140,Hoori,Aliado,Cortesano,Héroe
MG-068-128,Hothbrodd,Aliado,Cortesano,Héroe
TAS-205-200,Hotu Matu'a,Aliado,Real,Héroe
PI - 110/240,Howell Davies,Aliado,Cortesano,Héroe
KA - 111/140,Hozoin Kakuzenbo,Aliado,Vasallo,Héroe
MG-105-128,Hrolfr Kraki,Aliado,Vasallo,Héroe
SOL-045-232,Hunahpú,Aliado,Real,Héroe
CRPB-68-72,Idmón el Adivino,Aliado,Reprint Helénica,
